MOSTYPE,MAANTHUI,MGEMOMV,MGEMLEEF,MOSHOOFD,MGODRK,MGODPR,MGODOV,MGODGE,MRELGE,MRELSA,MRELOV,MFALLEEN,MFGEKIND,MFWEKIND,"Education Level(high-3,medium-2,low-1)",MBERHOOG,MBERZELF,MBERBOER,MBERMIDD,MBERARBG,MBERARBO,Social Class,MHHUUR,MHKOOP,Number of car,MZFONDS,MZPART,MINKGEM,MKOOPKLA,PWAPART,PWABEDR,PWALAND,PPERSAUT,PBESAUT,PMOTSCO,PVRAAUT,PAANHANG,PTRACTOR,PWERKT,PBROM,PLEVEN,PPERSONG,PGEZONG,PWAOREG,PBRAND,PZEILPL,PPLEZIER,PFIETS,PINBOED,PBYSTAND,Expexted Income,AWAPART,AWABEDR,AWALAND,APERSAUT,ABESAUT,AMOTSCO,AVRAAUT,AAANHANG,ATRACTOR,AWERKT,ABROM,ALEVEN,APERSONG,AGEZONG,AWAOREG,ABRAND,AZEILPL,APLEZIER,AFIETS,AINBOED,ABYSTAND,CARAVAN
33,1,3,2,8,0,5,1,3,7,0,2,1,2,6,1.31,1,0,1,2,5,2,2.39,1,8,0.94,8,1,4,3,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,49.73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,1,2,2,8,1,4,1,4,6,2,2,0,4,5,1.55,0,0,0,5,0,4,2.7,2,7,0.92,6,3,5,4,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,55.45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,1,2,2,8,0,4,2,4,3,2,4,4,4,2,1.55,0,0,0,7,0,2,3.1,7,2,0.82,9,0,3,4,75,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,33.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,1,3,3,3,2,3,2,4,5,2,2,2,3,4,1.93,4,0,0,3,1,2,3.19,5,4,1,7,2,4,4,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,40.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40,1,4,2,10,1,4,1,4,7,1,2,2,4,4,2.54,0,5,4,0,0,0,5,4,5,1.03,5,4,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,1,2,1,5,0,5,0,5,0,6,3,3,5,2,1.55,2,0,0,4,2,2,3.07,9,0,1.16,9,0,3,3,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2,3,2,9,2,2,0,5,7,2,0,0,3,6,1.42,0,0,0,4,1,5,2.61,6,3,0.94,9,0,3,5,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,2,3,8,0,7,0,2,7,2,0,0,5,4,1.29,2,0,0,2,5,2,2.85,0,9,1.29,6,3,3,3,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,44.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,1,2,4,8,0,1,3,6,6,0,3,3,3,3,1.04,1,1,0,1,8,1,2.38,9,0,0.9,7,2,2,3,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,3,3,3,3,5,0,2,7,0,2,2,2,6,1.42,2,0,0,3,3,3,2.11,0,9,0.79,6,3,4,7,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,39.28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
